,text,lacking_dem_pref
0,Getting closer and closer on the Tax Cut Bill. Shaping up even better than projected. House and Senate working very… https://t.co/fKLVfqSmsK,0.0
1,"Things are going really well for our economy, a subject the Fake News spends as little time as possible discussing!… https://t.co/hZfaovKX9L",1.0
2,No American should be separated from their loved ones because of preventable crime committed by those illegally in… https://t.co/leuQTYO8zk,0.0
3,Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF’S TROPHY! Congratulations!,0.0
4,.@daveweigel of the Washington Post just admitted that his picture was a FAKE (fraud?) showing an almost empty aren… https://t.co/wERMFP0Wcp,0.0
5,".@DaveWeigel @WashingtonPost put out a phony photo of an empty arena hours before I arrived @ the venue, w/ thousan… https://t.co/3sbs38FyaF",0.0
6,"Have a great game today, @USArmy and @USNavy - I will be watching. 

We love our U.S. Military. On behalf of an ent… https://t.co/zUH67y7RCl",0.0
7,It was my great honor to celebrate the opening of two extraordinary museums-the Mississippi State History Museum &amp,0.0
8,"Heading to the great state of Mississippi at the invitation of their popular and respected Governor, @PhilBryantMS.… https://t.co/GcwoRmwaHp",0.0
9,"CNN’S slogan is CNN, THE MOST TRUSTED NAME IN NEWS. Everyone knows this is not true, that this could, in fact, be a… https://t.co/FoPRXAVjsh",0.0
10,"Fake News CNN made a vicious and purposeful mistake yesterday. They were caught red handed, just like lonely Brian… https://t.co/8OH18LzYbT",1.0
11,A big contingent of very enthusiastic Roy Moore fans at the rally last night. We can’t have a Pelosi/Schumer Libera… https://t.co/XHOCKzdEh6,0.0
12,"GREAT EVENING last night in Pensacola, Florida. Arena was packed to the rafters, the crowd was loud, loving and rea… https://t.co/I0mrbhZT3g",0.0
13,"We believe that every American should stand for the National Anthem, and we proudly pledge allegiance to one NATION… https://t.co/4GQmdSmiRk",0.0
14,"This is your land, this is your home, and it's your voice that matters the most. So speak up, be heard, and fight,… https://t.co/u09Brwnow3",0.0
